in:Config,in:VertDyn,in:HghtMstr,in:Prog,out:# Woningen,out:PP Balans,out:Opbr/Kosten (%),out:Kosten BVO (€),out:Opbr GO (€),out:GO/BVO,img
4,2,6,5,915,322,82 %,164.075.256,297.957.019,0.734,Config4_VertDyn2_HghtMstr6_Prog5_Birdseye_AL3.png
0,3,6,5,1117,228,85 %,191.367.712,354.495.749,0.737,Config0_VertDyn3_HghtMstr6_Prog5_Birdseye_AL3.png
1,3,6,5,1040,238,84 %,181.592.518,334.507.854,0.732,Config1_VertDyn3_HghtMstr6_Prog5_Birdseye_AL3.png
2,3,6,5,1095,259,86 %,190.894.907,354.839.224,0.734,Config2_VertDyn3_HghtMstr6_Prog5_Birdseye_AL3.png
3,3,6,5,1099,432,82 %,197.131.324,359.173.602,0.737,Config3_VertDyn3_HghtMstr6_Prog5_Birdseye_AL3.png
4,3,6,5,1035,252,85 %,181.608.676,335.888.835,0.735,Config4_VertDyn3_HghtMstr6_Prog5_Birdseye_AL3.png
0,2,7,5,1191,186,87 %,202.084.531,377.227.934,0.737,Config0_VertDyn2_HghtMstr7_Prog5_Birdseye_AL3.png
1,2,7,5,999,261,83 %,175.570.344,320.997.792,0.731,Config1_VertDyn2_HghtMstr7_Prog5_Birdseye_AL3.png
2,2,7,5,1167,216,88 %,201.599.929,378.547.762,0.735,Config2_VertDyn2_HghtMstr7_Prog5_Birdseye_AL3.png
3,2,7,5,1124,416,83 %,200.517.910,366.926.735,0.738,Config3_VertDyn2_HghtMstr7_Prog5_Birdseye_AL3.png
4,2,7,5,1083,224,86 %,188.401.341,350.482.870,0.736,Config4_VertDyn2_HghtMstr7_Prog5_Birdseye_AL3.png
1,3,7,5,1098,203,86 %,190.280.114,352.928.905,0.732,Config1_VertDyn3_HghtMstr7_Prog5_Birdseye_AL3.png
2,3,7,5,1200,197,88 %,206.580.075,389.258.944,0.734,Config2_VertDyn3_HghtMstr7_Prog5_Birdseye_AL3.png
3,3,7,5,1271,330,86 %,222.163.773,413.904.428,0.738,Config3_VertDyn3_HghtMstr7_Prog5_Birdseye_AL3.png
4,3,7,5,1114,206,87 %,193.125.260,360.555.700,0.735,Config4_VertDyn3_HghtMstr7_Prog5_Birdseye_AL3.png
