in:Config,in:Vert_Dyn,in:Hght_mstr,in:Programma,out:Winst GO (%),out:Bouwkosten (€),out:Opbr GO (€),out:PP Balans,out:PPb E1a,out:PPb E1b,out:PPb E1c,out:PPb E2a-1,out:PPb E2a-b,out:PPb E2b,out:PPb E2c,out:GO/BVO (+p),out:# Woningen,out:% GV1K81T,out:% GV2K54T,out:% GV3K69T,out:% GV4K81T,out:% GV4K54E01,img
1,3,7,3,86 %,206.140.088,383.409.728,-219,1,22,-81,-168,13,25,-31,0.722,947,20,25,1,26,1,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config1_Vert_Dyn3_Hght_mstr7_Prog3_Birdseye_AL3.png
2,3,7,3,87 %,230.571.525,430.748.704,55,-24,5,-40,45,45,55,-31,0.723,1055,20,25,1,27,1,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config2_Vert_Dyn3_Hght_mstr7_Prog3_Birdseye_AL3.png
3,3,7,3,86 %,255.000.393,474.675.336,-21,131,-9,-188,29,85,-31,-38,0.73,1164,19,22,2,28,2,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config3_Vert_Dyn3_Hght_mstr7_Prog3_Birdseye_AL3.png
4,3,7,3,86 %,224.329.755,417.087.655,34,-25,-10,45,61,32,-31,-38,0.726,1026,22,20,2,25,2,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config4_Vert_Dyn3_Hght_mstr7_Prog3_Birdseye_AL3.png
0,2,6,4,83 %,177.196.299,324.484.445,285,16,19,-44,105,94,121,-26,0.738,952,20,21,47,1,1,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config0_Vert_Dyn2_Hght_mstr6_Prog4_Birdseye_AL3.png
1,2,6,4,80 %,163.978.501,294.808.267,342,50,47,-54,105,104,116,-26,0.733,864,19,23,44,1,1,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config1_Vert_Dyn2_Hght_mstr6_Prog4_Birdseye_AL3.png
2,2,6,4,82 %,179.973.597,327.012.916,320,16,61,-36,105,94,106,-26,0.736,972,22,22,43,1,1,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config2_Vert_Dyn2_Hght_mstr6_Prog4_Birdseye_AL3.png
3,2,6,4,82 %,189.494.267,344.460.201,451,222,35,74,62,116,-26,-32,0.736,1004,19,23,42,2,2,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config3_Vert_Dyn2_Hght_mstr6_Prog4_Birdseye_AL3.png
4,2,6,4,82 %,164.529.472,299.832.523,287,16,29,105,94,101,-26,-32,0.735,867,19,20,44,2,2,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config4_Vert_Dyn2_Hght_mstr6_Prog4_Birdseye_AL3.png
0,3,6,4,87 %,195.075.595,364.003.479,212,16,19,-44,74,71,102,-26,0.739,1066,20,21,47,1,1,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config0_Vert_Dyn3_Hght_mstr6_Prog4_Birdseye_AL3.png
1,3,6,4,85 %,188.101.197,347.374.633,244,24,47,-54,74,85,94,-26,0.735,1019,19,23,45,1,1,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config1_Vert_Dyn3_Hght_mstr6_Prog4_Birdseye_AL3.png
